"","Species","MBl","BEl","VEp","REs","OGp","RMl","BLs","PFv","PFs","CPt","troph_level","Dim.1","Dim.2"
"302","Morone americana",58,2.722076572,0.472522853,0.408997653,0.347356224,0.574882629,0.449977501,0.360438316,0.211337246,2.6667967,3.14,-2.1270433140581,-0.115404683827535
"303","Morone chrysops",45,2.952101611,0.504293644,0.478349465,0.487330335,0.676811129,0.447893882,0.332440849,0.167800492,2.127240239,4.04,-1.02661193908783,-0.166907263290228
"304","Morone mississippiensis",46,2.93300261,0.501751373,0.470234413,0.328622174,0.497973541,0.466417682,0.381603867,0.206227864,2.892144026,4.1,-1.25155700216045,-0.0651973995886326
"305","Morone saxatilis",200,3.453472984,0.645352095,0.295859905,0.613368246,0.707712585,0.491275844,0.386636114,0.154030837,2.867191666,4.65,0.280999682050008,-0.983993536219218
"306","Moxostoma anisurum",74,3.757618836,0.51491424,0.329753812,0.14374685,0.173722338,0.618485284,0.120532435,0.171483571,2.317764018,3.01,-0.499971705646366,-1.48639985902235
"307","Moxostoma carinatum",77,3.452162178,0.515951514,0.413229411,0.168787245,0.212323386,0.531990207,0.165725205,0.146698964,2.69703971,3.56,-0.694953161246724,-1.64156110821914
"308","Moxostoma collapsum",45,4.210217963,0.581945011,0.282179132,0.090288321,0.399026048739428,0.652219421,0.157487911,0.201743879,2.981009003,3.1,0.0575763622160693,-0.96110055360706
"309","Moxostoma congestum",65,4.213326947,0.555975903,0.387276521,0.202823707,0.157026179,0.604890789,0.202911118,0.157165607,2.639360656,3.1,0.200613889673848,-1.09419798508433
"310","Moxostoma duquesnei",51,4.209455855,0.603144172,0.292671671,0.219525207,0.184592666,0.541877834,0.209730928,0.18569505,2.901687311,3.04,-0.0847732374513782,-0.941484998492141
"311","Moxostoma erythrurum",78,4.151472542,0.492648775,0.31061533,0.07719751,0.163034229,0.591858604,0.139738521,0.176040424,2.633902416,3.04,-0.382796275211143,-1.88186753119764
"312","Moxostoma lachneri",44,4.683216701,0.485691387,0.279344889,0.14197193,0.205957952,0.593181907,0.10129403,0.135893883,3.102089394,3.1,0.100934771756292,-2.19436756406073
"313","Moxostoma macrolepidotum",75,4.049625937,0.427608303,0.331098905,0.162886286,0.142170706,0.512366733,0.176674803,0.163250001,1.941254114,3.13,-0.657028343314045,-2.04327564217464
"314","Moxostoma pappillosum",45,4.440402029,0.525019173,0.291666667,0.070839444,0.415308723285084,0.645829689,0.170889227,0.167751436,3.395815469,3.1,0.124988689023078,-1.53043806697202
"315","Moxostoma poecilurum",51,4.242560662,0.50758517,0.297737342,0.140201589,0.160240506,0.598480315,0.147775396,0.17900137,2.74178335032078,3.1,-0.214006065085038,-1.51088791253216
"316","Mugil cephalus",100,4.00102005,0.555333459,0.498534249,0.589632462,0.292992905,0.521260137,0.674227773,0.195523875,2.442879162,2.48,0.0835985683434824,1.33940442420836
"317","Mylopharyngodon piceus",180,3.989283975,0.507637604,0.276566621,0.315864588,0.404395328,0.387871408,0.366405261,0.160547009,2.69618817162783,3.19,-0.725364674796979,-1.98454436454988
"318","Nematalosa erebi",48,2.342373003,0.547654316,0.342739726,0.481566147,0.282410959,0.37416134,0.322803852,0.183661412,1.983747153,2.8,-2.57283788773525,0.0868401036102115
"319","Neogobius fluviatilis",20,4.574484995,0.663162553,0.275775551,0.408789184,0.575468739,0.662304587,0.551717287,0.18521319,2.132923063,3.41,1.7025570809731,1.18985185705308
