"","Site","Country","HydroBasin","taxnovel","funcnovel","cooccur","total_bincount","mean_ts_fill","mean_ts_fillS","bincountS"
"1442","G7901","FRA",2080022150,TRUE,FALSE,0,169,0.722222222222222,-0.219387285284302,0.11588855823253
"1443","G7902","FRA",2080022130,FALSE,FALSE,0,49,1,1.22743083175442,-0.633007993770846
"1444","G7905","FRA",2080022150,FALSE,FALSE,0,100,1,1.22743083175442,-0.314726959169411
"1445","G7908","FRA",2080023010,FALSE,FALSE,0,100,0.588235294117647,-0.917264259385332,-0.314726959169411
"1446","G7913","FRA",2080023010,TRUE,FALSE,0,557,0.67963567963568,-0.441201218166805,2.53732074304345
"1447","G7915","FRA",2080022150,FALSE,FALSE,0,36,0.666666666666667,-0.508750908692046,-0.714138453571212
"1448","G7917","FRA",2080022150,FALSE,FALSE,0,81,0.692307692307692,-0.375198467119241,-0.433302246569946
"1449","G7918","FRA",2080022150,TRUE,FALSE,0,100,0.714285714285714,-0.260724945771122,-0.314726959169411
"1450","G7919","FRA",2080022150,FALSE,FALSE,0,64,0.666666666666667,-0.508750908692046,-0.539395924770424
"1451","G7921","FRA",2080022150,FALSE,FALSE,0,64,0.666666666666667,-0.508750908692046,-0.539395924770424
"1452","G7922","FRA",2080022150,FALSE,FALSE,0,208,0.589010989010989,-0.913224017455398,0.359279937633627
"1453","G7925","FRA",2080022150,FALSE,FALSE,0,25,1,1.22743083175442,-0.782787304171522
"1454","G7926","FRA",2080022150,FALSE,FALSE,0,64,0.666666666666667,-0.508750908692046,-0.539395924770424
