SourceID,SiteID,TimeSeriesID,Protocol,Latitude,Longitude,BioRealm,HydroBasin,Country,Region,Province,Waterbody,
4,S8758,G109,Electrofishing_backpack,46.77094,17.64633,Palearctic,2080008490,HUN,SOMOGY,FONYOD,JAMAI-PATAK,GUARAGUACU
4,S9017,G111,Electrofishing_backpack,46.57266,17.49627,Palearctic,2080008490,HUN,SOMOGY,MARCALI,KOROKNAI-VIZFOLYAS,CORREGO DO OURO
4,S9161,G113,Electrofishing_backpack,46.51932,17.52959,Palearctic,2080008490,HUN,SOMOGY,MARCALI,KOROKNAI-VIZFOLYAS,CORREGO JENIPAPO
4,S9718,G117,Electrofishing_backpack,46.50995,17.29625,Palearctic,2080008490,HUN,SOMOGY,MARCALI,MAROTVOLGYI-CSATORNA,CORREGO MORRO AGUDO
4,S11497,G131,Electrofishing_backpack,46.80208,17.74633,Palearctic,2080008490,HUN,SOMOGY,BALATONFOLDVARI,TETVES-PATAK,CORREGO JAGUARA
4,S11617,G133,Electrofishing_backpack,46.7293,17.77965,Palearctic,2080008490,HUN,SOMOGY,FONYOD,TETVES-PATAK,CORREGO DA ROCA
4,S6920,G104,Electrofishing_backpack,46.73067,16.86298,Palearctic,2080008490,HUN,ZALA,PACSA/ZALAEGERSZEG,FELSO-VALICKA,BAIA
4,S7422,G105,Electrofishing_backpack,46.67238,16.8463,Palearctic,2080008490,HUN,ZALA,PACSA/ZALAEGERSZEG,FELSO-VALICKA,IVINHEIMA
4,S7859,G106,Electrofishing_backpack,46.8434,16.87968,Palearctic,2080008490,HUN,ZALA,PACSA/ZALAEGERSZEG,FELSO-VALICKA,PARANA
4,S8399,G107,Electrofishing_backpack,46.8846,16.97969,Palearctic,2080008490,HUN,ZALA,PACSA/ZALAEGERSZEG,FOGLAR-CSATORNA,AGUA PARADA
4,S10201,G119,Electrofishing_backpack,46.88997,16.89636,Palearctic,2080008490,HUN,ZALA,PACSA/ZALAEGERSZEG,SARVIZ,FORQUETA
4,S10691,G124,Electrofishing_backpack,47.03152,16.97973,Palearctic,2080008490,HUN,VAS,VASVAR,SZEPLAKI-PATAK,FORQUETA
4,S10916,G126,Electrofishing_backpack,46.74105,16.92965,Palearctic,2080008490,HUN,ZALA,PACSA/ZALAEGERSZEG,SZEVIZ,GARAPIA
