"","SpecCode","Suporder","Order","Family","MBl","BEl","VEp","REs","OGp","RMl","BLs","PFv","PFs","CPt","Type.of.illustration","Reference","Species"
"7187",26088,"Teleostei","Cypriniformes","Cyprinidae",70,4.018395848,0.4836218,0.29705243,0.359633663,0.382144448,0.450087512,0.28100615,0.169397734,2.852695135,"Photograph","Web Museo della Fauna Europea (http://ittiofauna.org/)","Rutilus meidingeri"
"7188",8418,"Teleostei","Cypriniformes","Cyprinidae",45,3.768303223,0.419303497,0.262570751,0.264582499,0.367599051,0.448795244,0.223875877,0.16693612,3.107623318,"Photograph","Web Museo della Fauna Europea (http://ittiofauna.org/)","Rutilus pigus"
"7189",272,"Teleostei","Cypriniformes","Cyprinidae",50.2,3.218972304,0.455062235,0.431532266,0.379343846,0.344102056,0.417817861,0.250272659,0.161840208,3.213864568,"Photograph","Froese, R. and D. Pauly. Editors. 2021. FishBase. (www.fishbase.org)","Rutilus rutilus"
"7190",22911,"Teleostei","Cypriniformes","Cobitidae",14,6.81840828,0.609954031,0.407863872,0.10498472,NA,0.667839441,0.18525129,0.124149724,2.135943287,"Drawing","Froese, R. and D. Pauly. Editors. 2021. FishBase. (www.fishbase.org)","Sabanejewia aurata"
"7191",49108,"Teleostei","Cypriniformes","Cobitidae",9,6.448644885,0.66461229,0.210936735,0.184958354,NA,0.658075247,0.154980789,0.111901772,2.306908032,"Photograph","Froese, R. and D. Pauly. Editors. 2021. FishBase. (www.fishbase.org)","Sabanejewia balcanica"
"7192",49158,"Teleostei","Cypriniformes","Cobitidae",12,6.270123787,0.710003346,0.268304193,0.27693543,NA,0.59549013,0.188277016,NA,2.029354455,"Photograph","Froese, R. and D. Pauly. Editors. 2021. FishBase. (www.fishbase.org)","Sabanejewia bulgarica"
"7193",47866,"Teleostei","Cypriniformes","Cobitidae",8.8,5.662596926,0.53894028,0.237603077,0.197966263,NA,0.537180316,0.197507142,0.173267148,1.696692302,"Drawing","Web Museo della Fauna Europea (http://ittiofauna.org/)","Sabanejewia caspia"
"7194",47867,"Teleostei","Cypriniformes","Cobitidae",10.5,6.636977587,0.718050932,0.246273305,0.221348148,NA,0.731844108,0.123375246,0.141413996,2.104184234,"Photograph","Web Museo della Fauna Europea (http://ittiofauna.org/)","Sabanejewia caucasica"
"7195",46528,"Teleostei","Cypriniformes","Cobitidae",9,6.901335366,0.641414089,0.19427715,0.151578112,NA,0.75237787,0.192161121,0.116332301,2.084350291,"Photograph","Web Museo della Fauna Europea (http://ittiofauna.org/)","Sabanejewia larvata"
"7196",57799,"Teleostei","Characiformes","Characidae",4,3.454269499,0.510133125,0.5770117,0.554666855,0.517288341,0.603450852,0.202589177,0.211390372,2.936770757,"Drawing","Gery J. (1977) Characoids of the world. TFH Publications, 672 pages.","Saccoderma hastata"
"7197",48636,"Teleostei","Characiformes","Characidae",2.67,3.181265198,0.538946453,0.500189189,0.519407264,0.375716216,0.527700722,0.182341993,0.166422333,2.256480243,"Photograph","Froese, R. and D. Pauly. Editors. 2021. FishBase. (www.fishbase.org)","Saccoderma melanostigma"
"7198",28263,"Teleostei","Characiformes","Parodontidae",13,4.380617149,0.483120751,0.419138845,0.25845413,0.125197619,0.415932541,0.172312423,0.209479386,1.959608078,"Photograph","Froese, R. and D. Pauly. Editors. 2021. FishBase. (www.fishbase.org)","Saccodon dariensis"
