"","Site","Country","HydroBasin","taxnovel","funcnovel","cooccur","total_bincount","mean_ts_fill","mean_ts_fillS","bincountS"
"1341","G7913","FRA",2080023010,TRUE,FALSE,0,557,0.67963567963568,-0.379895240473809,2.49758494932262
"1342","G7915","FRA",2080022150,FALSE,FALSE,0,36,0.666666666666667,-0.447046665173744,-0.711876690984875
"1343","G7917","FRA",2080022150,FALSE,FALSE,0,81,0.692307692307692,-0.314281634660133,-0.43466791207156
"1344","G7918","FRA",2080022150,TRUE,FALSE,0,100,0.714285714285714,-0.200483037077037,-0.317624205419271
"1345","G7919","FRA",2080022150,FALSE,FALSE,0,64,0.666666666666667,-0.447046665173744,-0.539391228549923
"1346","G7921","FRA",2080022150,FALSE,FALSE,0,64,0.666666666666667,-0.447046665173744,-0.539391228549923
"1347","G7922","FRA",2080022150,FALSE,FALSE,0,208,0.589010989010989,-0.849135043300679,0.347676863972685
"1348","G7925","FRA",2080022150,FALSE,FALSE,0,25,1,1.2788987315032,-0.779638836941463
"1349","G7926","FRA",2080022150,FALSE,FALSE,0,64,0.666666666666667,-0.447046665173744,-0.539391228549923
"1350","G7930","FRA",2080022150,FALSE,FALSE,0,25,0.714285714285714,-0.200483037077037,-0.779638836941463
"1351","G7933","FRA",2080023010,FALSE,FALSE,0,81,0.529411764705882,-1.15773006380542,-0.43466791207156
"1352","G7934","FRA",2080022150,TRUE,TRUE,0,314,1,1.2788987315032,1.00065754319072
"1353","G7935","FRA",2080022150,FALSE,TRUE,0,353,0.796363636363636,0.224502998260557,1.24090515158225
"1354","G7936","FRA",2080022150,FALSE,FALSE,0,250,0.911764705882353,0.822030832382831,0.606405057625112
"1355","G7940","FRA",2080022150,FALSE,FALSE,0,144,0.923076923076923,0.880603639962365,-0.0465756215929189
"1356","G7941","FRA",2080022150,FALSE,FALSE,0,64,0.8,0.243331493497033,-0.539391228549923
"1357","G7945","FRA",2080022150,FALSE,FALSE,0,49,0.583333333333333,-0.878533014342978,-0.631794154854362
"1358","G7946","FRA",2080022150,FALSE,FALSE,0,49,0.466666666666667,-1.48261390317991,-0.631794154854362
"1359","G7947","FRA",2080022150,FALSE,FALSE,0,25,0.714285714285714,-0.200483037077037,-0.779638836941463
"1360","G7948","FRA",2080022150,FALSE,FALSE,0,36,0.75,-0.0155603160045082,-0.711876690984875
"1361","G7950","FRA",2080022150,FALSE,FALSE,0,25,0.714285714285714,-0.200483037077037,-0.779638836941463
"1362","G7968","FRA",2080023010,TRUE,FALSE,0,100,0.526315789473684,-1.17376051640614,-0.317624205419271
"1363","G7971","FRA",2080016510,FALSE,FALSE,0,81,0.6,-0.792235744509132,-0.43466791207156
"1364","G7972","FRA",2080016750,FALSE,FALSE,0,100,0.526315789473684,-1.17376051640614,-0.317624205419271
"1365","G7976","FRA",2080016600,FALSE,FALSE,0,64,0.888888888888889,0.70358359927755,-0.539391228549923
"1366","G7977","FRA",2080016600,FALSE,FALSE,0,36,1,1.2788987315032,-0.711876690984875
"1367","G7981","FRA",2080020590,TRUE,FALSE,0,169,1,1.2788987315032,0.107429255581145
"1368","G7982","FRA",2080016510,FALSE,FALSE,0,121,0.916666666666667,0.847412382333962,-0.188260108593058
"1369","G7986","FRA",2080016510,FALSE,FALSE,0,100,1,1.2788987315032,-0.317624205419271
"1370","G7987","FRA",2080021030,FALSE,FALSE,0,144,0.631578947368421,-0.628725127981843,-0.0465756215929189
"1371","G7989","FRA",2080020590,FALSE,FALSE,0,64,0.888888888888889,0.70358359927755,-0.539391228549923
"1372","G7990","FRA",2080020590,FALSE,FALSE,0,121,0.916666666666667,0.847412382333962,-0.188260108593058
"1373","G7992","FRA",2080020590,FALSE,FALSE,0,25,1,1.2788987315032,-0.779638836941463
"1374","G7996","FRA",2080016690,FALSE,FALSE,0,74,1,1.2788987315032,-0.477789277680298
"1375","G8000","FRA",2080016640,FALSE,FALSE,0,36,0.857142857142857,0.53920784721308,-0.711876690984875
"1376","G8004","FRA",2080016640,FALSE,FALSE,0,121,0.647058823529412,-0.548572864978269,-0.188260108593058
"1377","G8015","FRA",2080016680,FALSE,FALSE,0,25,1,1.2788987315032,-0.779638836941463
"1378","G8019","FRA",2080020590,FALSE,FALSE,0,25,1,1.2788987315032,-0.779638836941463
"1379","G8049","FRA",2080016680,FALSE,FALSE,0,25,0.833333333333333,0.415926033164727,-0.779638836941463
"1380","G8064","FRA",2080020460,TRUE,FALSE,0,225,0.833333333333333,0.415926033164727,0.452400180451048
"1381","G8065","FRA",2080020590,FALSE,FALSE,0,196,0.736842105263158,-0.0836897395575455,0.273754522929134
"1382","G8066","FRA",2080020620,FALSE,FALSE,0,196,0.777777777777778,0.128268467051904,0.273754522929134
"1383","G8067","FRA",2080020590,FALSE,FALSE,0,49,1,1.2788987315032,-0.631794154854362
"1384","G8069","FRA",2080023010,FALSE,FALSE,0,225,0.789473684210526,0.188827954654603,0.452400180451048
"1385","G8070","FRA",2080020620,FALSE,FALSE,0,49,1,1.2788987315032,-0.631794154854362
"1386","G8071","FRA",2080020620,FALSE,FALSE,0,196,0.736842105263158,-0.0836897395575455,0.273754522929134
"1387","G8073","FRA",2080020620,FALSE,FALSE,0,36,0.315789473684211,-2.26383129325473,-0.711876690984875
"1388","G8074","FRA",2080020620,FALSE,FALSE,0,64,1,1.2788987315032,-0.539391228549923
"1389","G8075","FRA",2080020620,FALSE,FALSE,0,64,0.421052631578947,-1.71879590483044,-0.539391228549923
"1390","G8077","FRA",2080020620,FALSE,FALSE,0,49,0.875,0.631669207749345,-0.631794154854362
"1391","G8078","FRA",2080020620,FALSE,FALSE,0,64,0.444444444444444,-1.59767692962504,-0.539391228549923
"1392","G8081","FRA",2080020620,FALSE,FALSE,0,49,0.4375,-1.63363412538914,-0.631794154854362
"1393","G8088","FRA",2080021030,FALSE,FALSE,0,25,1,1.2788987315032,-0.779638836941463
"1394","G8089","FRA",2080021030,FALSE,FALSE,0,25,1,1.2788987315032,-0.779638836941463
"1395","G8090","FRA",2080021030,FALSE,FALSE,0,36,0.375,-1.95724888726607,-0.711876690984875
"1396","G8091","FRA",2080021030,FALSE,FALSE,0,144,0.705882352941177,-0.243994265564691,-0.0465756215929189
"1397","G8092","FRA",2080021030,FALSE,FALSE,0,100,0.588235294117647,-0.853151464391847,-0.317624205419271
"1398","G8094","FRA",2080021030,TRUE,FALSE,0,49,0.4375,-1.63363412538914,-0.631794154854362
"1399","G8096","FRA",2080021030,FALSE,FALSE,0,144,0.75,-0.0155603160045082,-0.0465756215929189
"1400","G8101","FRA",2080023010,FALSE,FALSE,0,100,0.555555555555556,-1.02236179739939,-0.317624205419271
"1401","G8117","FRA",2080023010,TRUE,FALSE,0,542,0.725432462274567,-0.1427670019392,2.40518202301818
"1402","G8119","FRA",2080021030,FALSE,FALSE,0,36,0.333333333333333,-2.17299206185068,-0.711876690984875
"1403","G8121","FRA",2080022970,FALSE,FALSE,0,121,0.611111111111111,-0.734704231286567,-0.188260108593058
"1404","G8122","FRA",2080022970,FALSE,FALSE,0,196,0.736842105263158,-0.0836897395575455,0.273754522929134
"1405","G8124","FRA",2080022150,FALSE,FALSE,0,36,0.857142857142857,0.53920784721308,-0.711876690984875
"1406","G8125","FRA",2080022150,FALSE,FALSE,0,25,0.833333333333333,0.415926033164727,-0.779638836941463
"1407","G8126","FRA",2080022150,FALSE,FALSE,0,196,0.777777777777778,0.128268467051904,0.273754522929134
"1408","G8127","FRA",2080022970,FALSE,FALSE,0,125,0.75,-0.0155603160045082,-0.163619328245207
"1409","G8128","FRA",2080023010,FALSE,TRUE,0,169,0.764705882352941,0.060584333848886,0.107429255581145
"1410","G8134","FRA",2080023010,FALSE,FALSE,0,64,0.615384615384615,-0.712576726200965,-0.539391228549923
