"","Site","Country","HydroBasin","taxnovel","trophnovel","cooccur","total_bincount","mean_ts_fill","mean_ts_fillS","bincountS"
"90","G1331","USA","7080047060",TRUE,FALSE,0,49,0.368421052631579,-2.02895572144907,-0.615964062314653
"91","G145","HUN","2080008490",TRUE,FALSE,0,36,0.857142857142857,0.505876378895868,-0.701986133604742
"92","G154","AUS","5080070220",TRUE,FALSE,0,136,1,1.24682730053516,-0.0402778929117475
"93","G159","AUS","5080070260",TRUE,FALSE,0,136,1,1.24682730053516,-0.0402778929117475
"94","G165","AUS","5080070250",TRUE,FALSE,0,100,0.885714285714286,0.654066563223726,-0.278492859561226
"95","G168","AUS","5080070260",TRUE,TRUE,1,136,1,1.24682730053516,-0.0402778929117475
"96","G198","AUS","5080070390",TRUE,FALSE,0,36,0.75,-0.0498368123335991,-0.701986133604742
"97","G207","AUS","5080070390",TRUE,FALSE,0,100,0.885714285714286,0.654066563223726,-0.278492859561226
"98","G210","AUS","5080070390",TRUE,FALSE,0,72,1,1.24682730053516,-0.463771166955264
"99","G217","AUS","5080070390",TRUE,FALSE,0,85,0.932692307692308,0.897725423993569,-0.377749095665175
"100","G2231","GBR","2080053240",TRUE,FALSE,0,36,0.5,-1.34650092520236,-0.701986133604742
"101","G226","AUS","5080070390",TRUE,FALSE,0,136,1,1.24682730053516,-0.0402778929117475
"102","G231","AUS","5080070390",TRUE,FALSE,0,85,0.932692307692308,0.897725423993569,-0.377749095665175
"103","G235","AUS","5080070390",TRUE,FALSE,0,85,0.88034188034188,0.626201742239,-0.377749095665175
"104","G236","AUS","5080070440",TRUE,FALSE,0,100,0.885714285714286,0.654066563223726,-0.278492859561226
"105","G250","AUS","5080070440",TRUE,FALSE,0,117,1,1.24682730053516,-0.166002458643417
"106","G2533","GBR","2080053100",TRUE,FALSE,0,121,0.785714285714286,0.135400918076223,-0.139534129015697
"107","G257","AUS","5080070400",TRUE,FALSE,0,72,1,1.24682730053516,-0.463771166955264
"108","G271","AUS","5080070540",TRUE,FALSE,0,136,1,1.24682730053516,-0.0402778929117475
