"","Site","Country","HydroBasin","taxnovel","trophnovel","cooccur","total_bincount","mean_ts_fill","mean_ts_fillS","bincountS"
"178","G10382","SWE","2080032670",FALSE,FALSE,0,64,0.533333333333333,-1.17361237681986,-0.516707826210704
"179","G10384","SWE","2080033090",FALSE,FALSE,0,289,0.62962962962963,-0.674156570381519,0.972135715348535
"180","G10385","SWE","2080032490",FALSE,FALSE,0,64,0.533333333333333,-1.17361237681986,-0.516707826210704
"181","G10388","SWE","2080032600",FALSE,FALSE,0,25,0.333333333333333,-2.21094366711486,-0.774774040080972
"182","G1039","USA","7080047060",TRUE,TRUE,0,544,0.875,0.598495244100779,2.65949172911567
"183","G10391","SWE","2080033010",FALSE,FALSE,0,64,0.888888888888889,0.670532139260154,-0.516707826210704
"184","G10394","SWE","2080033090",FALSE,FALSE,0,130,0.559561965811966,-1.03757347096119,-0.0799803873533272
"185","G10395","SWE","2080033090",FALSE,FALSE,0,221,0.592442645074224,-0.867032683736716,0.522174111677298
"186","G10397","SWE","2080033090",FALSE,FALSE,0,121,0.6875,-0.374002840550788,-0.139534129015697
"187","G1040","USA","7080047060",FALSE,FALSE,0,481,0.875862068965517,0.602966499662396,2.24261553747909
"188","G10404","SWE","2080032280",FALSE,FALSE,0,25,0.714285714285714,-0.235074542743421,-0.774774040080972
"189","G10406","SWE","2080032280",FALSE,FALSE,0,125,0.580357142857143,-0.929716031780255,-0.113065799387977
"190","G10409","SWE","2080033090",FALSE,FALSE,0,64,0.666666666666667,-0.482058183289852,-0.516707826210704
"191","G1041","USA","7080047060",TRUE,TRUE,0,569,0.947474747474747,0.974396860659702,2.82491878928892
"192","G10410","SWE","2080032280",FALSE,FALSE,0,49,0.583333333333333,-0.914279554246104,-0.615964062314653
"193","G10416","SWE","2080033080",FALSE,FALSE,0,36,0.75,-0.0498368123335991,-0.701986133604742
"194","G10420","SWE","2080033080",FALSE,FALSE,0,36,0.75,-0.0498368123335991,-0.701986133604742
"195","G10423","SWE","2080032280",TRUE,FALSE,0,49,0.7,-0.309169634907351,-0.615964062314653
"196","G10426","SWE","2080032280",FALSE,FALSE,0,98,0.680555555555556,-0.410021288130476,-0.291727024375086
"197","G10427","SWE","2080033080",FALSE,FALSE,0,36,0.5,-1.34650092520236,-0.701986133604742
"198","G10431","SWE","2080032280",FALSE,FALSE,0,145,0.680241327300151,-0.411651082138607,0.0192758487506221
"199","G10438","SWE","2080033120",FALSE,FALSE,0,61,0.424793388429752,-1.73657178229676,-0.536559073431494
"200","G10444","SWE","2080033120",FALSE,FALSE,0,169,0.590909090909091,-0.87498670234099,0.178085826516941
"201","G10446","SWE","2080033120",FALSE,FALSE,0,196,0.56,-1.03530153811385,0.356747051504049
"202","G10449","SWE","2080032280",FALSE,FALSE,0,36,1,1.24682730053516,-0.701986133604742
"203","G1045","USA","7080047060",FALSE,FALSE,0,64,0.727272727272727,-0.167715368048941,-0.516707826210704
"204","G10452","SWE","2080033130",FALSE,FALSE,0,441,0.7,-0.309169634907351,1.97793224120189
"205","G10453","SWE","2080032680",FALSE,FALSE,0,100,0.37037037037037,-2.01884528002319,-0.278492859561226
"206","G10455","SWE","2080033120",FALSE,FALSE,0,169,0.590909090909091,-0.87498670234099,0.178085826516941
"207","G10462","SWE","2080033010",FALSE,FALSE,0,64,0.888888888888889,0.670532139260154,-0.516707826210704
"208","G10464","SWE","2080033120",FALSE,FALSE,0,490,0.536151960784314,-1.15899312456692,2.30216927914145
"209","G10465","SWE","2080033120",FALSE,FALSE,0,25,1,1.24682730053516,-0.774774040080972
"210","G10468","SWE","2080033080",FALSE,FALSE,0,225,0.9375,0.922661272317969,0.548642441305018
"211","G10470","SWE","2080033130",FALSE,FALSE,0,256,0.592592592592593,-0.866254957473187,0.753771995919846
"212","G10472","SWE","2080032600",FALSE,FALSE,0,81,0.642857142857143,-0.605550003563066,-0.404217425292895
"213","G10475","SWE","2080033010",FALSE,FALSE,0,64,0.888888888888889,0.670532139260154,-0.516707826210704
"214","G10477","SWE","2080032600",FALSE,FALSE,0,64,0.888888888888889,0.670532139260154,-0.516707826210704
"215","G10479","SWE","2080033120",TRUE,TRUE,0,324,0.9,0.728161655387655,1.20373359959108
